NGC6515;9.44;0.41;-0.26;0.16;0.26;1.35;nan;nan;nan;nan
UGC11228;9.39;0.41;-0.19;0.14;0.32;1.04;8.51;0.07;nan;nan
UGC11262;8.82;0.51;-0.32;0.15;0.31;1.13;8.43;0.09;0.51;0.02
NGC6762;9.31;0.49;-0.29;0.14;0.19;0.78;8.49;0.07;0.33;0.22
MCG-02-51-004;8.42;0.42;-0.24;0.13;0.53;1.35;8.47;0.07;1.13;0.03
NGC6941;9.27;0.45;-0.28;0.12;0.16;0.92;8.54;0.06;1.06;0.02
NGC6978;9.19;0.47;-0.24;0.13;0.20;0.85;8.55;0.06;1.10;0.04
UGC11649;9.22;0.39;-0.22;0.12;0.05;0.52;8.52;0.07;0.61;0.02
NGC7025;9.72;0.21;-0.27;0.19;0.14;1.42;8.51;0.07;1.21;0.10
UGC11717;8.63;0.87;-0.25;0.16;0.36;0.32;8.56;0.05;1.89;0.26
MCG-01-54-016;8.36;0.55;-0.26;0.15;0.27;0.74;8.31;0.11;0.50;0.03
UGC11792;8.38;0.53;-0.35;0.15;1.19;1.87;8.49;0.06;1.97;0.08
NGC7194;9.67;0.23;-0.13;0.14;0.03;0.44;nan;nan;1.40;0.88
UGC11958;9.63;0.41;-0.24;0.16;0.00;1.11;nan;nan;0.57;0.33
UGC11982;8.75;0.42;-0.17;0.11;0.17;1.07;8.39;0.08;1.05;0.05
UGC12054;8.35;0.56;-0.29;0.14;0.34;0.84;8.33;0.07;0.52;0.02
NGC7311;9.22;0.39;-0.33;0.17;0.27;0.91;8.54;0.06;1.27;0.02
NGC7321;9.04;0.35;-0.32;0.13;0.12;0.68;8.51;0.07;0.85;0.02
UGC12127;9.71;0.28;-0.31;0.17;0.05;0.56;nan;nan;1.08;1.08
UGC12185;9.14;0.37;-0.25;0.13;0.13;0.73;8.47;0.07;1.01;0.03
UGC12224;8.83;0.34;-0.27;0.11;0.07;0.79;8.49;0.06;0.48;0.01
NGC7436B;9.57;0.29;-0.24;0.19;0.12;1.32;nan;nan;nan;nan
UGC12274;9.08;0.76;-0.23;0.13;0.08;0.46;nan;nan;1.19;0.27
UGC12308;8.24;0.45;-0.30;0.12;0.12;0.56;8.28;0.07;0.19;0.00
NGC7466;8.98;0.39;-0.31;0.12;0.36;1.17;8.51;0.05;1.40;0.08
NGC7489;8.03;0.49;-0.27;0.12;0.37;1.73;8.38;0.10;1.15;0.02
NGC7549;8.92;0.34;-0.28;0.16;0.43;1.19;8.53;0.06;1.12;0.06
NGC7563;9.74;0.21;-0.03;0.13;0.07;0.76;nan;nan;nan;nan
NGC7562;9.76;0.24;-0.15;0.14;0.04;0.55;nan;nan;nan;nan
NGC7591;8.99;0.32;-0.33;0.13;0.47;1.60;8.53;0.06;1.97;0.08
UGC12519;8.81;0.34;-0.33;0.15;0.31;1.08;8.47;0.06;0.93;0.04
UGC12518;9.26;0.53;-0.20;0.16;0.46;1.37;nan;nan;2.24;1.74
NGC7625;9.14;0.41;-0.41;0.12;0.41;1.98;8.55;0.05;1.58;0.08
NGC7631;9.10;0.46;-0.34;0.14;0.22;0.72;8.53;0.06;0.87;0.02
